,year,km_driven,owner,seller_type,seats,fuel,transmission,mileage,engine,max_power,selling_price
3136,2016.0,90150.0,First Owner,Individual,5.0,Diesel,Manual,24.3,,,11146.1
3137,2018.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,23.59,1364.0,67.05,8844.2
3138,,120000.0,,Individual,5.0,Diesel,Manual,22.95,1248.0,74.0,3876.91
3139,2015.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,25.8,1498.0,98.6,5512.48
3140,2015.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,67.0,4240.37
3143,2013.0,178000.0,First Owner,Individual,9.0,Diesel,Manual,15.96,2523.0,63.0,3937.48
3144,2011.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,15.2,1193.0,65.0,1453.84
3145,2014.0,30000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,3634.6
3146,2015.0,100000.0,First Owner,Individual,5.0,Diesel,Manual,26.0,1498.0,1787.99,6057.67
3147,2016.0,25339.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,
3148,2014.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,3028.83
3149,2017.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,20.65,64.0,88.7,5875.93
3150,2013.0,35000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,3392.29
3151,2015.0,68000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,
3152,2013.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,85.8,4846.14
3153,2015.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,19.09,1405.0,69.01,3574.02
3155,2011.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,15.6,1196.0,70.0,3028.83
3156,2015.0,40000.0,Second Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,7390.36
3157,2012.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,22.3,1248.0,74.0,2120.18
3158,2011.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,2483.63
3161,2011.0,42545.0,First Owner,Dealer,5.0,Diesel,Automatic,19.62,1998.0,190.0,13023.99
3162,2016.0,,First Owner,Dealer,5.0,Diesel,Manual,,1248.0,88.5,8359.58
3163,2017.0,41232.0,First Owner,Dealer,5.0,Diesel,Manual,26.59,1248.0,74.0,7135.93
3164,2015.0,40200.0,First Owner,Dealer,7.0,Diesel,Manual,21.0,1498.0,74.96,5391.33
3165,2013.0,48000.0,Second Owner,Dealer,5.0,Diesel,Manual,21.7,1498.0,98.96,5754.79
3167,2011.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,15.0,1368.0,90.0,2725.95
3168,2005.0,200000.0,Second Owner,Individual,8.0,Diesel,Manual,12.8,2494.0,102.0,3755.75
3169,2016.0,63000.0,First Owner,Dealer,9.0,Diesel,Manual,15.3,2956.0,83.8,5391.33
3170,2015.0,62000.0,First Owner,Dealer,7.0,Diesel,Manual,21.0,1498.0,74.96,5391.33
3171,2012.0,68240.0,First Owner,Dealer,7.0,Diesel,Manual,13.93,2956.0,138.1,5451.9
3172,,78000.0,,Dealer,7.0,Diesel,Manual,15.4,1997.0,1253.34,5451.9
3174,2010.0,35000.0,First Owner,Dealer,5.0,Petrol,Manual,18.9,998.0,67.1,2423.07
3175,2018.0,9000.0,First Owner,Dealer,5.0,Petrol,Manual,19.1,1197.0,85.8,7402.47
3176,2016.0,39000.0,First Owner,Dealer,5.0,Diesel,Manual,19.67,1582.0,126.2,9934.57
3178,2015.0,92651.0,First Owner,Dealer,5.0,Diesel,Manual,21.7,1498.0,98.96,7257.09
3179,2018.0,28000.0,First Owner,Dealer,5.0,Petrol,Manual,16.1,1197.0,85.0,5936.52
3180,2020.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,17.57,1193.0,88.7,6057.67
3181,2020.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,17.57,1193.0,88.7,6057.67
3182,2017.0,88754.0,First Owner,Dealer,7.0,Diesel,Manual,16.0,2179.0,140.0,13326.87
3183,2019.0,,First Owner,Individual,5.0,Petrol,Manual,,1194.0,94.93,8177.85
3184,2018.0,40000.0,First Owner,Individual,7.0,Diesel,Manual,16.0,101.0,138.0,16355.71
3185,2018.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,81.86,6905.74
3186,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,24.0,1186.0,73.97,5512.48
3187,,45000.0,,Individual,5.0,Petrol,Manual,21.1,814.0,1696.96,1999.03
3188,2016.0,22000.0,First Owner,Individual,5.0,Petrol,Manual,17.8,1497.0,117.3,11206.69
3189,2014.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,25.0,1396.0,69.01,2604.8
3190,2016.0,23700.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,81.8,5694.21
3192,2017.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,28.09,1248.0,88.5,7874.97
3193,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,20.37,1461.0,108.45,10903.8
3195,2009.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,17.8,1399.0,67.0,2301.91
3198,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,22.95,1248.0,10.01,5451.9
3199,2015.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,25.44,936.0,56.3,2423.07
3200,2017.0,110000.0,First Owner,Individual,5.0,CNG,Manual,37.24,998.0,58.16,4846.14
3201,2016.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,8783.62
3202,2014.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,20.0,11391.0,68.05,225.37
3203,2016.0,69500.0,Second Owner,Individual,8.0,Diesel,Manual,12.99,2494.0,100.6,13944.75
3204,2014.0,33000.0,First Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,67.0,2725.95
3205,2016.0,80000.0,First Owner,Individual,5.0,Petrol,Manual,19.81,1086.0,68.05,4603.83
3206,2019.0,5000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.86,7632.66
3207,2014.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,4252.48
3208,2012.0,50000.0,Second Owner,Individual,5.0,Diesel,Manual,20.86,1199.0,75.0,2410.95
3209,2017.0,50000.0,First Owner,Individual,7.0,Diesel,Manual,17.6,2179.0,147.94,10298.04
3210,2010.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,18.0,1248.0,75.0,
3211,2010.0,,Third Owner,Individual,5.0,Diesel,Manual,,1248.0,90.0,3634.6
3212,2016.0,80000.0,First Owner,Individual,7.0,Diesel,Manual,12.99,2494.0,100.6,11509.57
3213,2015.0,,Second Owner,Individual,7.0,Diesel,Manual,,1493.0,100.0,5209.6
3214,2016.0,80000.0,First Owner,Individual,7.0,Diesel,Automatic,10.91,3198.0,197.0,25442.21
3215,2018.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,24.0,1186.0,73.97,6542.28
3216,2012.0,60000.0,Second Owner,Individual,5.0,LPG,Manual,24.92,1086.0,63.0,2120.18
3217,2018.0,44000.0,First Owner,Individual,5.0,Diesel,Automatic,17.01,,,418994.71
3218,2020.0,5000.0,First Owner,Individual,5.0,Petrol,Manual,22.05,796.0,47.3,4240.37
3219,2019.0,18000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.86,8359.58
3220,2015.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,6481.71
3221,2016.0,100000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,8844.2
3222,2016.0,19000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,3392.29
3223,2019.0,33000.0,First Owner,Individual,5.0,Petrol,Automatic,21.21,1197.0,81.8,7874.97
3224,2012.0,162000.0,Fourth & Above Owner,Individual,7.0,Diesel,Manual,12.8,2494.0,102.0,6299.98
3225,2020.0,65000.0,Second Owner,Individual,5.0,Petrol,Manual,20.14,1197.0,81.86,4361.52
3226,2011.0,170000.0,First Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3028.83
3227,2017.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,21.66,1498.0,108.62,6966.32
3228,2012.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,19.09,1396.0,69.0,2059.61
3229,2017.0,53000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,8614.01
3230,2013.0,90000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,998.0,67.1,3028.83
3231,2017.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,8177.85
3232,2016.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,3937.48
3233,2016.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,796.0,47.3,3028.83
3234,2019.0,,First Owner,Individual,5.0,Diesel,Automatic,,14255.0,74.0,8965.35
3235,2019.0,1303.0,First Owner,Dealer,5.0,Petrol,Manual,17.8,1198.0,86.7,8359.58
3236,2018.0,31800.0,First Owner,Dealer,5.0,Diesel,Automatic,17.01,1968.0,188.0,48158.47
3237,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,62393.99
3238,2017.0,45000.0,First Owner,Dealer,5.0,Diesel,Automatic,19.33,,,38769.08
3240,2019.0,21000.0,First Owner,Dealer,7.0,Diesel,Automatic,12.83,1999.0,148.31,54519.02
3241,2018.0,29500.0,First Owner,Dealer,5.0,Diesel,Automatic,22.48,1995.0,187.74,474462.05
3242,2017.0,73000.0,First Owner,Dealer,5.0,Petrol,Automatic,12.0,2354.0,187.4,21201.84
3243,2018.0,50000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.67,1798.0,177.46,22595.09
3244,2017.0,28050.0,First Owner,Dealer,5.0,Diesel,Manual,28.09,1248.0,88.5,9692.27
3245,,58000.0,,Dealer,5.0,Petrol,Automatic,12.0,150.0,187.4,22110.49
3246,2017.0,58000.0,First Owner,Dealer,7.0,Diesel,Automatic,17.6,176.0,153.86,15689.36
3247,2014.0,69000.0,First Owner,Dealer,5.0,Diesel,Manual,19.87,1461.0,83.8,5149.02
3248,2016.0,70000.0,First Owner,Dealer,7.0,Diesel,Automatic,12.0,2987.0,224.0,49551.73
3249,2015.0,,First Owner,Dealer,5.0,Diesel,Automatic,,1582.0,12.83,11024.96
3250,2013.0,39000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.28,1798.0,138.03,7572.09
3251,2018.0,22000.0,First Owner,Dealer,5.0,Diesel,Automatic,18.0,1969.0,190.0,41192.15
3252,2015.0,40000.0,First Owner,Dealer,5.0,Diesel,Manual,26.21,,,6481.71
3253,2011.0,142000.0,First Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,3937.48
3254,2016.0,22947.0,First Owner,Individual,5.0,Petrol,Manual,20.4,10869.0,1155.14,6057.67
3255,2013.0,30000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,3634.6
3256,2016.0,,First Owner,Individual,5.0,Petrol,Manual,,814.0,55.2,3271.14
3257,2010.0,36659.0,First Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1938.45
3258,2016.0,60000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,2544.22
3259,2014.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,83.69
3260,2014.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,10661.5
3261,2010.0,39000.0,First Owner,Individual,5.0,Petrol,Manual,16.9,1061.0,64.9,1817.3
3262,2015.0,45000.0,First Owner,Individual,7.0,Diesel,Automatic,18.49,1493.0,100.0,9389.39
3264,2012.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,2665.37
3265,2017.0,48000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,8117.28
3266,2018.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9449.96
3267,2017.0,23000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,6239.4
3268,2017.0,14000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9692.27
3269,2017.0,14000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,317615.44
3270,2014.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,10298.04
3272,2008.0,150000.0,Third Owner,Individual,5.0,Diesel,Manual,19.4,1422.0,70.0,1696.15
3273,2016.0,80000.0,Second Owner,Individual,5.0,Petrol,Automatic,17.01,1591.0,121.3,9692.27
3274,2013.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,20.92,998.0,67.1,3028.83
3275,2017.0,44500.0,First Owner,Individual,5.0,Diesel,Manual,25.1,1248.0,88.5,9692.27
3276,2015.0,,Third Owner,Individual,5.0,Diesel,Manual,,1248.0,88.5,7269.2
3277,2012.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,21.8,1461.0,78.0,3028.83
3278,2016.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,25.8,1498.0,98.6,6057.67
3279,2019.0,9900.0,First Owner,Individual,8.0,Petrol,Manual,11.96,1298.0,80.0,9086.5
3280,2014.0,68000.0,First Owner,Individual,5.0,Diesel,Manual,22.9,1248.0,74.0,7874.97
3282,2016.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,21.9,1498.0,98.6,11509.57
3283,2015.0,110000.0,Second Owner,Individual,10.0,Diesel,Manual,13.58,2499.0,72.4,7026.9
3286,2011.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,19.0,998.0,66.1,4204.02
3287,2014.0,120000.0,Third Owner,Individual,7.0,Diesel,Manual,15.1,14697.0,140.0,12115.34
3288,2016.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,3634.6
3290,2014.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,4482.68
3291,2008.0,90000.0,Fourth & Above Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3028.83
3292,2017.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,22.5,999.0,67.0,3634.6
3293,2017.0,40000.0,First Owner,Individual,5.0,Petrol,Automatic,24.04,8564.0,67.0,5451.9
3294,2010.0,124316.0,Second Owner,Dealer,5.0,Diesel,Manual,20.0,1399.0,68.0,2241.34
3295,2019.0,6544.0,First Owner,Individual,5.0,Diesel,Manual,20.0,1497.0,115.0,14841.29
3296,2015.0,50000.0,First Owner,Individual,8.0,Diesel,Manual,12.99,2494.0,100.6,12115.34
3297,2016.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,7269.2
3298,2018.0,50000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,152.87,13326.87
3299,2015.0,30000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,81.86,
3300,2012.0,69000.0,First Owner,Individual,5.0,Petrol,Manual,17.5,1298.0,85.8,3452.87
3301,2016.0,49600.0,Second Owner,Individual,6.0,Diesel,Manual,25.32,1198.0,77.0,4240.37
3302,2008.0,30000.0,Second Owner,Individual,5.0,Petrol,Manual,19.81,1086.0,68.05,1574.99
3303,2016.0,198000.0,First Owner,Individual,8.0,Diesel,Manual,18.2,1248.0,73.74,6057.67
3304,2010.0,80000.0,First Owner,Individual,5.0,Petrol,Manual,17.0,1197.0,80.0,4240.37
3305,2019.0,19000.0,First Owner,Individual,5.0,Petrol,Automatic,21.4,1197.0,83.1,
3306,2020.0,5000.0,First Owner,Individual,5.0,CNG,Manual,30.716,1196.0,61.7,4834.02
3307,2017.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,81.86,6360.55
3308,2017.0,40000.0,First Owner,Individual,7.0,Petrol,Manual,17.5,1373.0,91.1,9268.23
3311,2014.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,19.69,1198.0,67.04,
3313,2013.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,19.01,1461.0,108.45,7874.97
3314,2012.0,103994.0,Fourth & Above Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,3876.91
3315,2003.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,13.4,1794.0,125.0,1756.72
3316,2017.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,25.83,1498.0,99.0,8117.28
3318,2012.0,178000.0,Second Owner,Individual,5.0,Diesel,Manual,22.3,1248.0,74.0,3452.87
3319,2011.0,40000.0,Third Owner,Individual,5.0,Petrol,Manual,19.0,998.0,67.1,3634.6
3320,2011.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,20.0,1399.0,68.0,3634.6
3321,2009.0,98000.0,Fourth & Above Owner,Individual,7.0,Diesel,Automatic,12.07,2967.0,241.4,9813.42
3322,2009.0,118000.0,Second Owner,Individual,5.0,Diesel,Manual,16.8,,,1090.38
3323,2004.0,100000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1211.53
3324,2009.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,17.88,1396.0,52.8,1090.38
3325,2013.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,13.5,2609.0,115.0,5573.04
3326,2009.0,217000.0,Fourth & Above Owner,Individual,8.0,Diesel,Manual,12.8,2494.0,102.0,6360.55
3327,2011.0,65000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,998.0,67.1,3028.83
3328,2012.0,41000.0,Second Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,3634.6
3329,2005.0,,Second Owner,Individual,5.0,Petrol,Manual,,1298.0,88.2,1574.99
3330,2011.0,70000.0,Third Owner,Individual,5.0,Petrol,Manual,20.92,998.0,67.1,2410.95
3331,2012.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,20.46,1461.0,83.8,6602.86
3332,2014.0,80000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.8,6905.74
3333,2006.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,16.9,1497.0,100.0,1817.3
3334,2009.0,100000.0,First Owner,Individual,5.0,Petrol,Manual,19.7,796.0,1336.01,1393.25
3335,2018.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,20.3,1199.0,84.0,5451.9
3336,2019.0,5000.0,First Owner,Individual,7.0,Petrol,Manual,20.0,999.0,72.0,7269.2
3337,2016.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,7390.36
3338,,20000.0,,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,8359.58
3339,2018.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,17.0,1198.0,108.5,
3341,2016.0,41000.0,First Owner,Individual,5.0,Petrol,Manual,18.7,1199.0,88.7,6057.67
3342,2011.0,,Second Owner,Individual,7.0,Diesel,Manual,,2523.0,63.0,4119.21
3343,2007.0,110000.0,Third Owner,Individual,7.0,Diesel,Manual,13.6,2523.0,63.0,2968.26
3344,2012.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,17.8,1399.0,67.0,4119.21
3345,2008.0,35008.0,First Owner,Dealer,5.0,Petrol,Manual,21.79,998.0,67.05,2677.49
3346,2017.0,31100.0,First Owner,Dealer,5.0,Petrol,Manual,22.7,799.0,53.64,3271.14
3347,2014.0,42312.0,First Owner,Dealer,5.0,Diesel,Manual,24.4,1120.0,71.0,5512.48
3348,2011.0,72000.0,First Owner,Dealer,5.0,Petrol,Manual,17.6,1496.0,88.7,3634.6
3349,2014.0,54891.0,First Owner,Dealer,5.0,Diesel,Manual,23.59,1364.0,67.04,5815.36
3350,2018.0,30000.0,First Owner,Individual,5.0,Diesel,Automatic,22.0,1582.0,126.2,12115.34
3351,2017.0,44000.0,First Owner,Dealer,5.0,Diesel,Automatic,22.69,1995.0,190.0,31499.88
3352,2017.0,18890.0,First Owner,Dealer,7.0,Diesel,Automatic,11.36,2755.0,171.5,22413.38
3353,2013.0,75010.0,First Owner,Dealer,5.0,Diesel,Automatic,13.73,1995.0,1079.56,12115.34
3354,2012.0,100000.0,First Owner,Dealer,5.0,Diesel,Manual,23.08,1461.0,63.1,2968.26
3355,2019.0,4337.0,First Owner,Dealer,5.0,Petrol,Automatic,18.9,1197.0,82.0,
3356,,14495.0,,Dealer,5.0,Petrol,Manual,18.78,999.0,75.0,6784.59
3357,2018.0,24000.0,First Owner,Dealer,7.0,Diesel,Manual,15.1,16653.0,152.87,17870.12
3358,2010.0,83585.0,First Owner,Dealer,5.0,Diesel,Manual,21.43,1364.0,87.2,5149.02
3359,2014.0,31000.0,Second Owner,Dealer,5.0,Petrol,Automatic,17.21,1197.0,103.6,6663.44
3360,,100000.0,,Dealer,7.0,Diesel,Manual,13.68,2393.0,147.8,17870.12
3361,2017.0,48406.0,First Owner,Dealer,5.0,Diesel,Manual,19.87,1461.0,83.8,9086.5
3362,2016.0,56239.0,First Owner,Dealer,5.0,Diesel,Manual,22.54,1396.0,88.73,6905.74
3363,2015.0,33243.0,First Owner,Dealer,5.0,Petrol,Manual,21.4,1197.0,1598.97,7087.47
3364,2016.0,26000.0,First Owner,Dealer,5.0,Petrol,Automatic,19.0,1199.0,88.7,7269.2
3366,2016.0,120000.0,Second Owner,Individual,5.0,Petrol,Manual,17.19,1197.0,81.86,6421.13
3367,2016.0,38000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,6542.28
3368,2013.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2180.76
3369,2014.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,19.1,1197.0,85.8,5451.9
3370,2015.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,11845.0,76.8,2423.07
3371,2017.0,42000.0,First Owner,Individual,5.0,Petrol,Manual,23.84,166.0,84.0,5149.02
3372,2016.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,18.2,1199.0,82.4,
3373,2005.0,15858.0,First Owner,Individual,5.0,Petrol,Manual,13.8,1299.0,70.0,1817.3
3374,2017.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,24.7,796.0,47.3,3755.75
3375,2014.0,50000.0,First Owner,Individual,9.0,Diesel,Manual,13.58,2499.0,72.4,6057.67
3376,2013.0,60000.0,Second Owner,Individual,5.0,Diesel,Manual,25.44,936.0,10.52,2423.07
3377,2018.0,35000.0,First Owner,Individual,7.0,Diesel,Manual,21.04,1461.0,83.8,10903.8
3378,2000.0,90000.0,Second Owner,Individual,5.0,Diesel,Manual,12.8,1489.0,35.5,908.65
3379,2015.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,83.11,4846.14
3380,2015.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,24.5,1498.0,98.6,7874.97
3381,2015.0,87847.0,First Owner,Dealer,5.0,Diesel,Manual,28.4,1248.0,74.0,5815.36
3382,2009.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1696.15
3383,,,,Individual,5.0,Petrol,Manual,,1197.0,81.8,6663.44
3384,2017.0,29000.0,First Owner,Individual,5.0,Petrol,Automatic,20.51,998.0,67.0,4603.83
3385,2016.0,20000.0,First Owner,Individual,5.0,Diesel,Manual,19.09,1405.0,69.01,5330.75
3386,2018.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,7632.66
3387,2017.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,25.17,799.0,53.3,3028.83
3388,2009.0,17000.0,First Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1453.84
3389,2012.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,21.12,1248.0,88.8,3477.1
3390,2016.0,45000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,6663.44
3391,,60000.0,,Individual,7.0,Diesel,Manual,15.4,1997.0,120.0,11509.57
3392,2019.0,25000.0,First Owner,Individual,5.0,Diesel,Manual,17.0,1956.0,138.1,19748.0
3393,2015.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,25.01,17006.0,89.75,6069.78
3394,2014.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,1731.22,6663.44
3395,2016.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,796.0,47.3,3634.6
3396,2015.0,50000.0,Third Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,3634.6
3398,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Automatic,17.01,1499.0,110.4,5039.98
3399,2018.0,30000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,3149.99
3400,2016.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,18.2,1199.0,82.4,6663.44
3401,2012.0,,Second Owner,Individual,7.0,Diesel,Manual,,2179.0,140.0,8480.74
3402,2011.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,15.64,1193.0,64.1,2192.88
3403,2009.0,110000.0,Second Owner,Individual,8.0,Diesel,Automatic,11.79,2179.0,120.0,4422.1
3405,2017.0,10000.0,First Owner,Individual,5.0,Petrol,Automatic,23.95,998.0,67.1,4846.14
3406,2010.0,110000.0,First Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2544.22
3407,2013.0,87000.0,Second Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.32,6057.67
3408,2017.0,9000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.6,1999.0,177.0,32844.68
3409,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,62393.99
3410,2017.0,45000.0,First Owner,Dealer,5.0,Diesel,Automatic,19.33,1999.0,177.0,38769.08
3411,2015.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,14.1,2179.0,147.94,
3412,2019.0,20000.0,First Owner,Individual,5.0,Diesel,Automatic,18.0,1969.0,190.0,46038.28
3413,2016.0,68089.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.16,2494.0,157.7,24230.68
3414,2013.0,58343.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,21.79,998.0,67.05,2725.95
3415,2018.0,,First Owner,Dealer,5.0,Diesel,Manual,,1248.0,1165.93,8965.35
3416,2016.0,56494.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,18.2,1199.0,88.7,6663.44
3417,2013.0,79328.0,Second Owner,Trustmark Dealer,7.0,Diesel,Manual,12.99,2494.0,100.6,9086.5
3418,2019.0,5621.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,22.0,1197.0,81.8,7874.97
3419,2017.0,25538.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,16.78,1496.0,88.73,7572.09
3420,,69779.0,,Dealer,5.0,Petrol,Automatic,22.0,1197.0,81.8,7269.2
3421,2017.0,56290.0,First Owner,Dealer,5.0,Diesel,Manual,24.0,1186.0,73.97,5451.9
3423,2019.0,8500.0,First Owner,Dealer,5.0,Diesel,Automatic,16.78,1995.0,190.0,66634.36
3424,2019.0,7032.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.0,1199.0,88.76,9437.85
3425,2016.0,11000.0,First Owner,Dealer,5.0,Petrol,Automatic,14.3,1598.0,103.5,7814.39
3426,2018.0,2000.0,First Owner,Dealer,5.0,Diesel,Automatic,16.8,1984.0,150.0,29985.46
3427,2017.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,27.39,1248.0,74.0,8904.77
